mcc_cat_desc,total,transactions,doy,hour
ALCOHOL,141295.11,3234,331,12
ALCOHOL,160061.58,3743,331,13
ALCOHOL,162954.159999999,4117,331,14
ALCOHOL,154167.4,4021,331,15
ALCOHOL,141889.52,3758,331,16
ALCOHOL,119152.53,3290,331,17
ALCOHOL,87236.2599999999,2445,331,18
ALCOHOL,40193.11,1197,331,19
ALCOHOL,24430.83,824,331,20
ALCOHOL,10015.02,426,331,21
ALCOHOL,5522.9,254,331,22
ALCOHOL,1574.73,83,331,23
ALCOHOL,671.04,37,332,0
ALCOHOL,550.09,29,332,1
ALCOHOL,11.85,1,332,2
ALCOHOL,36.72,1,332,3
ALCOHOL,52.08,3,332,4
ALCOHOL,524.27,21,332,5
ALCOHOL,5593.32,171,332,6
ALCOHOL,15662.98,421,332,7
ALCOHOL,26223.48,742,332,8
ALCOHOL,37155.65,1081,332,9
ALCOHOL,40365.47,1237,332,10
ALCOHOL,43851.62,1425,332,11
ALCOHOL,43134.7100000001,1433,332,12
ALCOHOL,36477.67,1221,332,13
ALCOHOL,29637.46,1045,332,14
ALCOHOL,25377.29,975,332,15
ALCOHOL,18238.86,727,332,16
ALCOHOL,16377.81,689,332,17
ALCOHOL,11066.54,520,332,18
ALCOHOL,8717.17999999999,425,332,19
ALCOHOL,7724.87,371,332,20
ALCOHOL,5446.62,257,332,21
ALCOHOL,3132.75,176,332,22
ALCOHOL,1235.15,74,332,23
ALCOHOL,901.61,27,333,0
ALCOHOL,425.9,19,333,1
ALCOHOL,47.88,2,333,2
ALCOHOL,187.53,10,333,4
ALCOHOL,724.9,17,333,5
ALCOHOL,6351.21,176,333,6
ALCOHOL,15306.79,376,333,7
ALCOHOL,24474.57,626,333,8
ALCOHOL,33578.8,853,333,9
ALCOHOL,42991.38,1191,333,10
ALCOHOL,50279.03,1372,333,11
ALCOHOL,59127.3699999999,1686,333,12
ALCOHOL,65376.46,1904,333,13
ALCOHOL,67171.4500000001,2119,333,14
ALCOHOL,63685.5399999999,2138,333,15
ALCOHOL,59249.93,2030,333,16
ALCOHOL,51836.3,1849,333,17
ALCOHOL,34926.08,1325,333,18
ALCOHOL,19293.73,836,333,19
ALCOHOL,15577.4,605,333,20
ALCOHOL,6535.96999999999,346,333,21
ALCOHOL,4804.47,266,333,22
ALCOHOL,2507.75,145,333,23
ALCOHOL,1211.41,60,334,0
ALCOHOL,657.45,39,334,1
ALCOHOL,33.5,2,334,2
ALCOHOL,14.5,3,334,3
ALCOHOL,60.01,4,334,4
ALCOHOL,275.65,11,334,5
ALCOHOL,6937.68999999999,197,334,6
ALCOHOL,15882.85,404,334,7
ALCOHOL,27750.43,760,334,8
ALCOHOL,36478.61,1026,334,9
ALCOHOL,42905.93,1258,334,10
ALCOHOL,52801.41,1536,334,11
ALCOHOL,59092.56,1741,334,12
ALCOHOL,67629.76,2060,334,13
ALCOHOL,68230.08,2152,334,14
ALCOHOL,61601.8399999999,2120,334,15
ALCOHOL,57250.15,2004,334,16
ALCOHOL,49055.2600000001,1845,334,17
ALCOHOL,36996.99,1425,334,18
ALCOHOL,19775.87,838,334,19
ALCOHOL,12748.04,613,334,20
ALCOHOL,7393.75999999999,391,334,21
ALCOHOL,4653.98,277,334,22
ALCOHOL,2863.44,183,334,23
ANTIQUES,144.1,1,319,7
ANTIQUES,63.47,3,319,8
ANTIQUES,429.19,6,319,9
ANTIQUES,475.58,8,319,10
ANTIQUES,744,11,319,11
ANTIQUES,473.43,14,319,12
ANTIQUES,2001.42,16,319,13
ANTIQUES,787.78,13,319,14
ANTIQUES,238.83,5,319,15
ANTIQUES,355.28,5,319,16
ANTIQUES,175.87,4,319,17
ANTIQUES,32.38,1,319,18
ANTIQUES,38.73,1,319,19
ANTIQUES,19.73,2,319,21
ANTIQUES,99.34,2,320,6
ANTIQUES,84.24,2,320,7
ANTIQUES,1203.51,11,320,8
